40,40,0,1479,2151
80,40,0,1250,2280
120,40,0,1019,2419
160,40,0,759,2568
40,80,0,1710,2270
80,80,0,1491,2407
120,80,0,1252,2556
160,80,0,994,2716
40,120,0,1963,2400
80,120,0,1742,2546
120,120,0,1506,2706
160,120,0,1250,2878
40,160,0,2231,2537
80,160,0,2014,2695
120,160,0,1779,2868
160,160,0,1521,3053
40,0,40,1245,1774
40,0,80,1233,1498
40,0,120,1221,1201
40,0,160,1207,883
80,0,40,1015,1889
80,0,80,995,1604
80,0,120,973,1301
80,0,160,952,975
120,0,40,763,2013
120,0,80,736,1720
120,0,120,704,1410
120,0,160,672,1076
160,0,40,494,2148
160,0,80,458,1848
160,0,120,416,1527
160,0,160,374,1186
0,40,40,1683,1765
0,80,40,1918,1868
0,120,40,2176,1982
0,160,40,2452,2102
0,40,80,1684,1489
0,80,80,1929,1587
0,120,80,2194,1690
0,160,80,2478,1804
0,40,120,1685,1192
0,80,120,1939,1283
0,120,120,2213,1380
0,160,120,2510,1487
0,40,160,1689,878
0,80,160,1948,960
0,120,160,2236,1049
0,160,160,2541,1144 
